email,address,phone,name,residency,region,city,geo_location,lucky_number,nationality,birth_date
claytonwong@protonmail.sa,"148-1022 Cursus, Rd.",04 08 37 18 27,Clayton Wong,Singapore,West Region,Bukit Panjang,"-19.8040174592, -101.0582991872",81,India,09/04/1947
cassandrachase@google.org,753-7563 Adipiscing. St.,03 47 15 68 73,Cassandra Chase,Mexico,Oaxaca,Oaxaca,"-51.6316346368, 54.1171785728",70,France,08/07/1997
erinflynn@hotmail.edu,"P.O. Box 456, 2213 Quam Avenue",07 71 95 34 95,Erin Flynn,Chile,Metropolitana de Santiago,Isla de Maipo,"-65.9995358208, 26.3719548928",33,Netherlands,02/09/1956
gingerbrowning2421@icloud.ca,9376 Arcu St.,07 42 12 57 42,Ginger Browning,Russian Federation,Kurgan Oblast,Kurgan,"-52.08278016, 63.3369558016",99,Italy,06/19/1966
cleopate9480@hotmail.edu,Ap #385-5987 Gravida St.,01 96 11 18 87,Cleo Pate,Norway,Agder,Grimstad,"80.3049392128, -111.5436986368",63,South Korea,08/04/1979
elijahbyrd@yahoo.org,"P.O. Box 102, 8018 Cursus St.",08 32 87 66 13,Elijah Byrd,France,Île-de-France,Créteil,"-35.5227779072, 171.4381535232",32,India,06/27/1964
calvinsanchez2765@outlook.edu,640-5845 Phasellus St.,04 94 20 45 63,Calvin Sanchez,Brazil,Paraíba,Patos,"-18.0330957824, 160.9026902016",33,New Zealand,09/06/1975
eatoncalderon3842@yahoo.ca,"P.O. Box 890, 3285 Elit, Rd.",03 35 65 67 56,Eaton Calderon,Spain,La Rioja,Logroño,"-36.2797341696, 102.7425727488",47,China,06/03/1994
fatimamays728@google.gh,"P.O. Box 414, 6483 Praesent St.",02 82 18 06 54,Fatima Mays,Norway,Møre og Romsdal,Kristiansund,"-50.6909459456, -145.7369083904",62,Russian Federation,02/18/1946
altheasolomon5983@aol.edu,826-2406 Libero. Road,05 74 86 30 32,Althea Solomon,Chile,Aisén,Guaitecas,"-34.2057099264, 13.9085142016",65,Australia,02/22/1971
vernonmichael4420@google.ci,9667 Tincidunt St.,05 15 21 86 87,Vernon Michael,China,Dōngběi,Jilin,"25.182131712, 81.956916224",43,United Kingdom,10/25/1987
stephaniejenkins4684@outlook.couk,839-4177 Tempus Rd.,08 96 71 41 99,Stephanie Jenkins,Pakistan,Khyber Pakhtoonkhwa,Bannu,"-3.7261164544, 119.5204386816",76,Vietnam,04/14/1984
masonchaney1007@protonmail.ca,745-6751 Mauris Road,03 17 44 75 57,Mason Chaney,Spain,Castilla - La Mancha,Toledo,"-22.6034915328, 68.0132345856",29,Norway,07/14/1994
cedricgates5872@aol.ca,Ap #272-373 Nulla Street,07 21 24 44 33,Cedric Gates,Brazil,Rio de Janeiro,São João de Meriti,"-14.5758208, 22.2727345152",45,Turkey,05/22/1966
audreymullins956@google.com,Ap #566-7798 Ante. Rd.,03 71 32 57 28,Audrey Mullins,Canada,British Columbia,Coldstream,"59.028901888, 79.6797133824",77,Norway,09/25/1977
lyleclements@google.sn,620-6273 Lacus Road,09 77 95 67 22,Lyle Clements,Norway,Troms og Finnmark,Hammerfest,"-32.787747328, -131.5767375872",15,Austria,07/30/1980
shainebeach@aol.org,Ap #476-6064 Dictum Rd.,05 82 96 83 28,Shaine Beach,Ireland,Munster,Cork,"18.1215816704, -111.8169788416",21,Vietnam,03/31/1999
tashyamalone@icloud.ca,733-3405 Tincidunt St.,01 12 43 87 57,Tashya Malone,India,Karnataka,Shimoga,"-84.815876096, 133.4918652928",3,Norway,03/21/1969
yasirmccormick6666@hotmail.gh,Ap #556-5066 Parturient Rd.,02 78 53 84 61,Yasir Mccormick,Poland,Kujawsko-pomorskie,Toruń,"-13.647901184, -121.8413999104",36,Colombia,06/18/1977
utacrane7235@yahoo.sa,412-6191 Morbi Road,03 07 45 16 76,Uta Crane,Indonesia,Central Sulawesi,Palu,"78.02384384, 104.4059966464",65,Sweden,12/18/1945
garethfowler6845@icloud.com,9940 Arcu. Rd.,05 17 88 26 13,Gareth Fowler,China,Zhōngnán,Guangdong,"-3.276900352, 133.3907791872",77,Ireland,03/01/1951
cathleenramirez905@outlook.ca,895-3307 Maecenas Av.,02 06 32 73 65,Cathleen Ramirez,Spain,Castilla - La Mancha,Albacete,"42.6644846592, -117.7228700672",63,Costa Rica,09/05/1979
ottogonzalez4077@yahoo.ca,Ap #449-2431 Risus. Rd.,07 81 30 39 37,Otto Gonzalez,Costa Rica,Puntarenas,Puntarenas,"40.380166656, 78.3237705728",17,South Korea,06/09/1956
ayannapratt599@protonmail.org,Ap #484-9970 Tincidunt Ave,08 84 51 70 50,Ayanna Pratt,Mexico,Puebla,Tehuacán,"86.180361728, -127.8280131584",34,Pakistan,07/08/1961
